16,0x45,0xb3,0x45,0xb3
17,0x45,0xb1,0x45,0xb1
18,0x45,0xb0,0x45,0xb0
19,0x45,0xb2,0x45,0xb2
23,0x0A,0xb4,0x0A,0xb4
28,0x43,0xb3,0x43,0xb3
29,0x42,0xb3,0x42,0xb3
30,0x41,0xb3,0x41,0xb3
31,0x40,0xb3,0x40,0xb3
32,0x21,0xb4,0x21,0xb4
33,0x20,0xb4,0x20,0xb4
34,0x1f,0xb4,0x1f,0xb4
35,0x1e,0xb4,0x1e,0xb4
36,0x43,0xb1,0x43,0xb1
37,0x42,0xb1,0x42,0xb1
38,0x41,0xb1,0x41,0xb1
39,0x40,0xb1,0x40,0xb1
40,0x43,0xb0,0x43,0xb0
41,0x42,0xb0,0x42,0xb0
42,0x41,0xb0,0x41,0xb0
43,0x40,0xb0,0x40,0xb0
44,0x43,0xb2,0x43,0xb2
45,0x42,0xb2,0x42,0xb2
46,0x41,0xb2,0x41,0xb2
47,0x40,0xb2,0x40,0xb2
48,0x17,0xb4,0x17,0xb4
49,0x16,0xb4,0x16,0xb4
50,0x15,0xb4,0x15,0xb4
51,0x14,0xb4,0x14,0xb4
54,0x02,0xb4,0x02,0xb4
59,0x3c,0xb0,0x3c,0xb0
60,0x3c,0xb1,0x3c,0xb1
61,0x3c,0xb2,0x3c,0xb2
62,0x3c,0xb3,0x3c,0xb3
280,0x05,0xb4,0x05,0xb4
281,0x07,0xb4,0x07,0xb4
282,0x06,0xb4,0x06,0xb4
283,0x08,0xb4,0x08,0xb4
284,0x09,0xb4,0x09,0xb4
288,0x44,0xb2,0x44,0xb2
289,0x44,0xb0,0x44,0xb0
290,0x44,0xb1,0x44,0xb1
291,0x44,0xb3,0x44,0xb3
292,0x03,0xb4,0x03,0xb4
321,0x18,0xb4,0x18,0xb4
322,0x19,0xb4,0x19,0xb4
323,0x1a,0xb4,0x1a,0xb4
324,0x1b,0xb4,0x1b,0xb4
325,0x1c,0xb4,0x1c,0xb4
328,0x3e,0xb2,0x3e,0xb2
329,0x3f,0xb2,0x3f,0xb2
330,0x3e,0xb0,0x3e,0xb0
331,0x3f,0xb0,0x3f,0xb0
332,0x3e,0xb1,0x3e,0xb1
333,0x3f,0xb1,0x3f,0xb1
334,0x3e,0xb3,0x3e,0xb3
335,0x3f,0xb3,0x3f,0xb3
345,0x22,0xb4,0x22,0xb4
346,0x23,0xb4,0x23,0xb4
347,0x24,0xb4,0x24,0xb4
348,0x25,0xb4,0x25,0xb4
349,0x26,0xb4,0x26,0xb4
